Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,1,Life Sciences,1,1,2,Female,Sales Executive,4,Single,5993,8,Yes,8,1,6,0
49,No,Travel_Frequently,Research & Development,8,Life Sciences,1,2,3,Male,Research Scientist,2,Married,5130,1,No,10,3,10,1
37,Yes,Travel_Rarely,Research & Development,2,Other,1,4,4,Male,Laboratory Technician,3,Single,2090,6,Yes,7,3,0,0
33,No,Travel_Frequently,Research & Development,3,Life Sciences,1,5,4,Female,Research Scientist,3,Married,2909,1,Yes,8,3,8,3
27,No,Travel_Rarely,Research & Development,2,Medical,1,7,1,Male,Laboratory Technician,2,Married,3468,9,No,6,3,2,2
32,No,Travel_Frequently,Research & Development,2,Life Sciences,1,8,4,Male,Laboratory Technician,4,Single,3068,0,No,8,2,7,3
59,No,Travel_Rarely,Research & Development,3,Medical,1,10,3,Female,Laboratory Technician,1,Married,2670,4,Yes,12,2,1,0
30,No,Travel_Rarely,Research & Development,24,Life Sciences,1,11,4,Male,Laboratory Technician,3,Divorced,2693,1,No,1,3,1,0
38,No,Travel_Frequently,Research & Development,23,Life Sciences,1,12,4,Male,Manufacturing Director,3,Single,9526,0,No,10,3,9,1
36,No,Travel_Rarely,Research & Development,27,Medical,1,13,3,Male,Healthcare Representative,3,Married,5237,6,No,17,2,7,7
35,No,Travel_Rarely,Research & Development,16,Medical,1,14,1,Male,Laboratory Technician,2,Married,2426,0,No,6,3,5,0
29,No,Travel_Rarely,Research & Development,15,Life Sciences,1,15,4,Female,Laboratory Technician,3,Single,4193,0,Yes,10,3,9,0
31,No,Travel_Rarely,Research & Development,26,Life Sciences,1,16,1,Male,Research Scientist,3,Divorced,2911,1,No,5,2,5,4
34,No,Travel_Rarely,Research & Development,19,Medical,1,18,2,Male,Laboratory Technician,4,Divorced,2661,0,No,3,3,2,1
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,19,3,Male,Laboratory Technician,3,Single,2028,5,Yes,6,3,4,0
29,No,Travel_Rarely,Research & Development,21,Life Sciences,1,20,2,Female,Manufacturing Director,1,Divorced,9980,1,No,10,3,10,8
32,No,Travel_Rarely,Research & Development,5,Life Sciences,1,21,1,Male,Research Scientist,2,Divorced,3298,0,Yes,7,2,6,0
22,No,Non-Travel,Research & Development,16,Medical,1,22,4,Male,Laboratory Technician,4,Divorced,2935,1,Yes,1,2,1,0
53,No,Travel_Rarely,Sales,2,Life Sciences,1,23,1,Female,Manager,4,Married,15427,2,No,31,3,25,3
38,No,Travel_Rarely,Research & Development,2,Life Sciences,1,24,4,Male,Research Scientist,4,Single,3944,5,Yes,6,3,3,1
24,No,Non-Travel,Research & Development,11,Other,1,26,1,Female,Manufacturing Director,3,Divorced,4011,0,No,5,2,4,1
36,Yes,Travel_Rarely,Sales,9,Life Sciences,1,27,3,Male,Sales Representative,1,Single,3407,7,No,10,3,5,0
34,No,Travel_Rarely,Research & Development,7,Life Sciences,1,28,1,Female,Research Director,2,Single,11994,0,No,13,3,12,2
21,No,Travel_Rarely,Research & Development,15,Life Sciences,1,30,3,Male,Research Scientist,4,Single,1232,1,No,0,3,0,0
34,Yes,Travel_Rarely,Research & Development,6,Medical,1,31,2,Male,Research Scientist,1,Single,2960,2,No,8,3,4,1
53,No,Travel_Rarely,Research & Development,5,Other,1,32,3,Female,Manager,3,Divorced,19094,4,No,26,2,14,4
32,Yes,Travel_Frequently,Research & Development,16,Life Sciences,1,33,2,Female,Research Scientist,1,Single,3919,1,Yes,10,3,10,6
42,No,Travel_Rarely,Sales,8,Marketing,1,35,3,Male,Sales Executive,2,Married,6825,0,No,10,3,9,4
44,No,Travel_Rarely,Research & Development,7,Medical,1,36,1,Female,Healthcare Representative,4,Married,10248,3,No,24,3,22,5
46,No,Travel_Rarely,Sales,2,Marketing,1,38,2,Female,Manager,1,Single,18947,3,No,22,2,2,2
33,No,Travel_Rarely,Research & Development,2,Medical,1,39,3,Male,Laboratory Technician,4,Single,2496,4,No,7,3,1,0
44,No,Travel_Rarely,Research & Development,10,Other,1,40,4,Male,Healthcare Representative,4,Married,6465,2,Yes,9,4,4,1
30,No,Travel_Rarely,Research & Development,9,Medical,1,41,4,Male,Laboratory Technician,3,Single,2206,1,No,10,3,10,1
39,Yes,Travel_Rarely,Sales,5,Technical Degree,1,42,4,Male,Sales Representative,4,Married,2086,3,No,19,4,1,0
24,Yes,Travel_Rarely,Research & Development,1,Medical,1,45,2,Male,Research Scientist,4,Married,2293,2,Yes,6,2,2,2
43,No,Travel_Rarely,Research & Development,2,Medical,1,46,4,Female,Research Scientist,3,Divorced,2645,1,No,6,2,5,1
50,Yes,Travel_Rarely,Sales,3,Marketing,1,47,1,Male,Sales Representative,3,Married,2683,1,Yes,3,3,3,0
35,No,Travel_Rarely,Sales,2,Marketing,1,49,4,Female,Sales Representative,4,Married,2014,1,No,2,3,2,2
36,No,Travel_Rarely,Research & Development,5,Life Sciences,1,51,2,Female,Research Scientist,1,Married,3419,9,Yes,6,4,1,0
33,No,Travel_Frequently,Sales,1,Life Sciences,1,52,3,Female,Sales Executive,1,Married,5376,2,No,10,3,5,1
35,No,Travel_Rarely,Research & Development,4,Other,1,53,3,Male,Laboratory Technician,4,Divorced,1951,1,No,1,3,1,0
27,No,Travel_Rarely,Research & Development,2,Life Sciences,1,54,4,Female,Laboratory Technician,1,Divorced,2341,1,No,1,3,1,0
